track,model,scenario,mutation_id,stratum,operator,repetition,execution_order,condition,approach,outcome,returncode,duration_seconds,error_type,artifacts_dir
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d5cd8e90b29b1b31,E2,rename_id,3,A|B,A,baseline,passed_interacted,0,6.905,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gemini-3.6-flash/mutations/mutation-d5cd8e90b29b1b31-A-r3.artifacts
P,gemini-3.6-flash,suite_cadastro_confirmacao_senha,mutation-d5cd8e90b29b1b31,E2,rename_id,3,A|B,B,structured,passed_interacted,0,7.864,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gemini-3.6-flash/mutations/mutation-d5cd8e90b29b1b31-B-r3.artifacts
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-f026cc4f906a76d1,E1,insert_noninteractive_sibling_before,1,A|B,A,baseline,passed_interacted,0,8.815,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-f026cc4f906a76d1-A-r1.artifacts
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-f026cc4f906a76d1,E1,insert_noninteractive_sibling_before,1,A|B,B,structured,passed_interacted,0,9.041,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-f026cc4f906a76d1-B-r1.artifacts
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-f026cc4f906a76d1,E1,insert_noninteractive_sibling_before,2,A|B,A,baseline,passed_interacted,0,9.002,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-f026cc4f906a76d1-A-r2.artifacts
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-f026cc4f906a76d1,E1,insert_noninteractive_sibling_before,2,A|B,B,structured,passed_interacted,0,9.389,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-f026cc4f906a76d1-B-r2.artifacts
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-f026cc4f906a76d1,E1,insert_noninteractive_sibling_before,3,A|B,A,baseline,passed_interacted,0,9.216,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-f026cc4f906a76d1-A-r3.artifacts
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-f026cc4f906a76d1,E1,insert_noninteractive_sibling_before,3,A|B,B,structured,passed_interacted,0,9.007,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-f026cc4f906a76d1-B-r3.artifacts
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-8b066797110a117f,E2,input_submit_to_button,1,A|B,A,baseline,locator_not_found,1,17.808,locator_timeout,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-8b066797110a117f-A-r1.artifacts
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-8b066797110a117f,E2,input_submit_to_button,1,A|B,B,structured,passed_interacted,0,9.792,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-8b066797110a117f-B-r1.artifacts
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-8b066797110a117f,E2,input_submit_to_button,2,A|B,A,baseline,locator_not_found,1,17.395,locator_timeout,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-8b066797110a117f-A-r2.artifacts
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-8b066797110a117f,E2,input_submit_to_button,2,A|B,B,structured,passed_interacted,0,9.355,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-8b066797110a117f-B-r2.artifacts
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-8b066797110a117f,E2,input_submit_to_button,3,A|B,A,baseline,locator_not_found,1,18.047,locator_timeout,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-8b066797110a117f-A-r3.artifacts
P,gpt-5.6-sol,suite_busca_blue_jeans,mutation-8b066797110a117f,E2,input_submit_to_button,3,A|B,B,structured,passed_interacted,0,9.014,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-8b066797110a117f-B-r3.artifacts
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-b745f8523a2ad8e7,E1,insert_noninteractive_sibling_before,1,B|A,A,baseline,passed_interacted,0,9.085,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-b745f8523a2ad8e7-A-r1.artifacts
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-b745f8523a2ad8e7,E1,insert_noninteractive_sibling_before,1,B|A,B,structured,passed_interacted,0,9.483,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-b745f8523a2ad8e7-B-r1.artifacts
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-b745f8523a2ad8e7,E1,insert_noninteractive_sibling_before,2,B|A,A,baseline,passed_interacted,0,9.214,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-b745f8523a2ad8e7-A-r2.artifacts
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-b745f8523a2ad8e7,E1,insert_noninteractive_sibling_before,2,B|A,B,structured,passed_interacted,0,9.334,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-b745f8523a2ad8e7-B-r2.artifacts
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-b745f8523a2ad8e7,E1,insert_noninteractive_sibling_before,3,B|A,A,baseline,passed_interacted,0,9.152,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-b745f8523a2ad8e7-A-r3.artifacts
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-b745f8523a2ad8e7,E1,insert_noninteractive_sibling_before,3,B|A,B,structured,passed_interacted,0,9.571,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-b745f8523a2ad8e7-B-r3.artifacts
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-361a9103a5072567,E2,input_submit_to_button,1,A|B,A,baseline,locator_not_found,1,17.824,locator_timeout,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-361a9103a5072567-A-r1.artifacts
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-361a9103a5072567,E2,input_submit_to_button,1,A|B,B,structured,passed_interacted,0,9.166,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-361a9103a5072567-B-r1.artifacts
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-361a9103a5072567,E2,input_submit_to_button,2,A|B,A,baseline,locator_not_found,1,17.742,locator_timeout,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-361a9103a5072567-A-r2.artifacts
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-361a9103a5072567,E2,input_submit_to_button,2,A|B,B,structured,passed_interacted,0,9.462,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-361a9103a5072567-B-r2.artifacts
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-361a9103a5072567,E2,input_submit_to_button,3,A|B,A,baseline,locator_not_found,1,17.835,locator_timeout,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-361a9103a5072567-A-r3.artifacts
P,gpt-5.6-sol,suite_detalhes_fiction,mutation-361a9103a5072567,E2,input_submit_to_button,3,A|B,B,structured,passed_interacted,0,9.225,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-361a9103a5072567-B-r3.artifacts
P,gpt-5.6-sol,suite_login_invalido,mutation-5fdf1828cabd53de,E1,insert_wrapper,1,B|A,A,baseline,passed_interacted,0,8.651,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-5fdf1828cabd53de-A-r1.artifacts
P,gpt-5.6-sol,suite_login_invalido,mutation-5fdf1828cabd53de,E1,insert_wrapper,1,B|A,B,structured,passed_interacted,0,8.796,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-5fdf1828cabd53de-B-r1.artifacts
P,gpt-5.6-sol,suite_login_invalido,mutation-5fdf1828cabd53de,E1,insert_wrapper,2,B|A,A,baseline,passed_interacted,0,8.753,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-5fdf1828cabd53de-A-r2.artifacts
P,gpt-5.6-sol,suite_login_invalido,mutation-5fdf1828cabd53de,E1,insert_wrapper,2,B|A,B,structured,passed_interacted,0,8.576,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-5fdf1828cabd53de-B-r2.artifacts
P,gpt-5.6-sol,suite_login_invalido,mutation-5fdf1828cabd53de,E1,insert_wrapper,3,B|A,A,baseline,passed_interacted,0,8.663,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-5fdf1828cabd53de-A-r3.artifacts
P,gpt-5.6-sol,suite_login_invalido,mutation-5fdf1828cabd53de,E1,insert_wrapper,3,B|A,B,structured,passed_interacted,0,8.576,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-5fdf1828cabd53de-B-r3.artifacts
P,gpt-5.6-sol,suite_login_invalido,mutation-439ad347e64028d4,E2,rename_id,1,B|A,A,baseline,locator_not_found,1,17.604,locator_timeout,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-439ad347e64028d4-A-r1.artifacts
P,gpt-5.6-sol,suite_login_invalido,mutation-439ad347e64028d4,E2,rename_id,1,B|A,B,structured,passed_interacted,0,8.68,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-439ad347e64028d4-B-r1.artifacts
P,gpt-5.6-sol,suite_login_invalido,mutation-439ad347e64028d4,E2,rename_id,2,B|A,A,baseline,locator_not_found,1,18.157,locator_timeout,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-439ad347e64028d4-A-r2.artifacts
P,gpt-5.6-sol,suite_login_invalido,mutation-439ad347e64028d4,E2,rename_id,2,B|A,B,structured,passed_interacted,0,8.943,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-439ad347e64028d4-B-r2.artifacts
P,gpt-5.6-sol,suite_login_invalido,mutation-439ad347e64028d4,E2,rename_id,3,B|A,A,baseline,locator_not_found,1,18.303,locator_timeout,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-439ad347e64028d4-A-r3.artifacts
P,gpt-5.6-sol,suite_login_invalido,mutation-439ad347e64028d4,E2,rename_id,3,B|A,B,structured,passed_interacted,0,8.705,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-439ad347e64028d4-B-r3.artifacts
P,gpt-5.6-sol,suite_login_valido,mutation-ac2305bb5ac9e7a3,E1,insert_noninteractive_sibling_before,1,A|B,A,baseline,passed_interacted,0,9.029,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-ac2305bb5ac9e7a3-A-r1.artifacts
P,gpt-5.6-sol,suite_login_valido,mutation-ac2305bb5ac9e7a3,E1,insert_noninteractive_sibling_before,1,A|B,B,structured,passed_interacted,0,8.952,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-ac2305bb5ac9e7a3-B-r1.artifacts
P,gpt-5.6-sol,suite_login_valido,mutation-ac2305bb5ac9e7a3,E1,insert_noninteractive_sibling_before,2,A|B,A,baseline,passed_interacted,0,9.045,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-ac2305bb5ac9e7a3-A-r2.artifacts
P,gpt-5.6-sol,suite_login_valido,mutation-ac2305bb5ac9e7a3,E1,insert_noninteractive_sibling_before,2,A|B,B,structured,passed_interacted,0,9.063,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-ac2305bb5ac9e7a3-B-r2.artifacts
P,gpt-5.6-sol,suite_login_valido,mutation-ac2305bb5ac9e7a3,E1,insert_noninteractive_sibling_before,3,A|B,A,baseline,passed_interacted,0,8.796,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-ac2305bb5ac9e7a3-A-r3.artifacts
P,gpt-5.6-sol,suite_login_valido,mutation-ac2305bb5ac9e7a3,E1,insert_noninteractive_sibling_before,3,A|B,B,structured,passed_interacted,0,9.007,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-ac2305bb5ac9e7a3-B-r3.artifacts
P,gpt-5.6-sol,suite_login_valido,mutation-01c92a29170fe542,E2,input_submit_to_button,1,A|B,A,baseline,locator_not_found,1,18.178,locator_timeout,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-01c92a29170fe542-A-r1.artifacts
P,gpt-5.6-sol,suite_login_valido,mutation-01c92a29170fe542,E2,input_submit_to_button,1,A|B,B,structured,passed_interacted,0,9.056,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-01c92a29170fe542-B-r1.artifacts
P,gpt-5.6-sol,suite_login_valido,mutation-01c92a29170fe542,E2,input_submit_to_button,2,A|B,A,baseline,locator_not_found,1,17.91,locator_timeout,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-01c92a29170fe542-A-r2.artifacts
P,gpt-5.6-sol,suite_login_valido,mutation-01c92a29170fe542,E2,input_submit_to_button,2,A|B,B,structured,passed_interacted,0,9.088,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-01c92a29170fe542-B-r2.artifacts
P,gpt-5.6-sol,suite_login_valido,mutation-01c92a29170fe542,E2,input_submit_to_button,3,A|B,A,baseline,locator_not_found,1,18.051,locator_timeout,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-01c92a29170fe542-A-r3.artifacts
P,gpt-5.6-sol,suite_login_valido,mutation-01c92a29170fe542,E2,input_submit_to_button,3,A|B,B,structured,passed_interacted,0,8.926,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_P/gpt-5.6-sol/mutations/mutation-01c92a29170fe542-B-r3.artifacts
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-5b72726c4f561716,E1,insert_noninteractive_sibling_before,1,A|B,A,baseline,passed_interacted,0,7.708,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gemini-3.6-flash/mutations/mutation-5b72726c4f561716-A-r1.artifacts
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-5b72726c4f561716,E1,insert_noninteractive_sibling_before,1,A|B,B,structured,passed_interacted,0,7.873,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gemini-3.6-flash/mutations/mutation-5b72726c4f561716-B-r1.artifacts
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-5b72726c4f561716,E1,insert_noninteractive_sibling_before,2,A|B,A,baseline,passed_interacted,0,7.757,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gemini-3.6-flash/mutations/mutation-5b72726c4f561716-A-r2.artifacts
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-5b72726c4f561716,E1,insert_noninteractive_sibling_before,2,A|B,B,structured,passed_interacted,0,7.779,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gemini-3.6-flash/mutations/mutation-5b72726c4f561716-B-r2.artifacts
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-5b72726c4f561716,E1,insert_noninteractive_sibling_before,3,A|B,A,baseline,passed_interacted,0,7.91,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gemini-3.6-flash/mutations/mutation-5b72726c4f561716-A-r3.artifacts
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-5b72726c4f561716,E1,insert_noninteractive_sibling_before,3,A|B,B,structured,passed_interacted,0,7.719,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gemini-3.6-flash/mutations/mutation-5b72726c4f561716-B-r3.artifacts
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-d20cb5bb3f6fd31b,E1,insert_wrapper,1,A|B,A,baseline,passed_interacted,0,7.75,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gemini-3.6-flash/mutations/mutation-d20cb5bb3f6fd31b-A-r1.artifacts
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-d20cb5bb3f6fd31b,E1,insert_wrapper,1,A|B,B,structured,passed_interacted,0,7.617,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gemini-3.6-flash/mutations/mutation-d20cb5bb3f6fd31b-B-r1.artifacts
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-d20cb5bb3f6fd31b,E1,insert_wrapper,2,A|B,A,baseline,passed_interacted,0,8.12,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gemini-3.6-flash/mutations/mutation-d20cb5bb3f6fd31b-A-r2.artifacts
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-d20cb5bb3f6fd31b,E1,insert_wrapper,2,A|B,B,structured,passed_interacted,0,7.239,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gemini-3.6-flash/mutations/mutation-d20cb5bb3f6fd31b-B-r2.artifacts
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-d20cb5bb3f6fd31b,E1,insert_wrapper,3,A|B,A,baseline,passed_interacted,0,7.838,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gemini-3.6-flash/mutations/mutation-d20cb5bb3f6fd31b-A-r3.artifacts
R,gemini-3.6-flash,suite_navegar_sobre_nos,mutation-d20cb5bb3f6fd31b,E1,insert_wrapper,3,A|B,B,structured,passed_interacted,0,7.78,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gemini-3.6-flash/mutations/mutation-d20cb5bb3f6fd31b-B-r3.artifacts
R,gpt-5.6-sol,suite_adicionar_carrinho,mutation-defa59a332c6148b,E1,insert_noninteractive_sibling_before,1,B|A,A,baseline,passed_interacted,0,10.652,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gpt-5.6-sol/mutations/mutation-defa59a332c6148b-A-r1.artifacts
R,gpt-5.6-sol,suite_adicionar_carrinho,mutation-defa59a332c6148b,E1,insert_noninteractive_sibling_before,1,B|A,B,structured,passed_interacted,0,10.618,,/home/martinsspn/dissertacao_e2e_semantico/python_app/avaliacao_prompts/resilience_campaign_results/campaign_20260728_01/mutations/track_R/gpt-5.6-sol/mutations/mutation-defa59a332c6148b-B-r1.artifacts
