model,round,scenario,condition,execution_status,flow_correctness,target_correctness,assertion_correctness,semantic_total_6,semantic_classification,source_file,review_note
gemini-3.6-flash,gemini_new_20,suite_cadastro_confirmacao_senha,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_cadastro_confirmacao_senha.spec.ts,"Usa email único, senhas divergentes e valida erro e ausência de navegação."
gemini-3.6-flash,gemini_new_20,suite_cadastro_confirmacao_senha,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_cadastro_confirmacao_senha.spec.ts,Usa os controles reais e a mensagem efetivamente apresentada pela aplicação.
gemini-3.6-flash,gemini_new_20,suite_cadastro_senha_curta,baseline,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_cadastro_senha_curta.spec.ts,"Cobre a validação pedida, mas usa localhost como destino padrão."
gemini-3.6-flash,gemini_new_20,suite_cadastro_senha_curta,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_cadastro_senha_curta.spec.ts,Usa senha de cinco caracteres e confirma a mensagem de validação.
gemini-3.6-flash,gemini_new_20,suite_carrinho_inicialmente_vazio,baseline,failed,2,0,2,4,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_carrinho_inicialmente_vazio.spec.ts,"Oráculo completo, porém executa por padrão contra um domínio de comércio inventado."
gemini-3.6-flash,gemini_new_20,suite_carrinho_inicialmente_vazio,structured_context,passed,2,2,1,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_carrinho_inicialmente_vazio.spec.ts,"Confirma página e mensagem de carrinho vazio, mas omite a contagem zero solicitada."
gemini-3.6-flash,gemini_new_20,suite_comparar_produtos,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_comparar_produtos.spec.ts,"Adiciona os dois produtos, valida ambos e limpa a lista."
gemini-3.6-flash,gemini_new_20,suite_comparar_produtos,structured_context,failed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_comparar_produtos.spec.ts,"Adiciona os dois produtos no mesmo fluxo, valida-os e limpa a lista."
gemini-3.6-flash,gemini_new_20,suite_enquete_sem_resposta,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_enquete_sem_resposta.spec.ts,Não seleciona resposta e trata tanto diálogo quanto mensagem inline.
gemini-3.6-flash,gemini_new_20,suite_enquete_sem_resposta,structured_context,failed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_enquete_sem_resposta.spec.ts,Usa o botão e o contêiner de erro reais e valida a mensagem.
gemini-3.6-flash,gemini_new_20,suite_exibir_quatro_livros,baseline,failed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_exibir_quatro_livros.spec.ts,"Seleciona 4, mantém Books visível e valida limite e presença de produtos."
gemini-3.6-flash,gemini_new_20,suite_exibir_quatro_livros,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_exibir_quatro_livros.spec.ts,Seleciona o controle real e valida de um a quatro produtos.
gemini-3.6-flash,gemini_new_20,suite_filtrar_livros_abaixo_25,baseline,syntax_error,2,0,2,4,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_filtrar_livros_abaixo_25.spec.ts,O arquivo cria um DOM simulado quando BASE_URL não é fornecida; além disso contém erro de sintaxe e não testa a aplicação alvo.
gemini-3.6-flash,gemini_new_20,suite_filtrar_livros_abaixo_25,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_filtrar_livros_abaixo_25.spec.ts,Aplica o filtro real e verifica numericamente todos os preços exibidos.
gemini-3.6-flash,gemini_new_20,suite_navegar_cartoes_presente,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_navegar_cartoes_presente.spec.ts,"Valida rota, heading, breadcrumb e presença de produtos."
gemini-3.6-flash,gemini_new_20,suite_navegar_cartoes_presente,structured_context,failed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_navegar_cartoes_presente.spec.ts,"Valida rota, heading, breadcrumb e presença de produtos."
gemini-3.6-flash,gemini_new_20,suite_navegar_categoria_livros,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_navegar_categoria_livros.spec.ts,"Valida página, breadcrumb e os três livros solicitados."
gemini-3.6-flash,gemini_new_20,suite_navegar_categoria_livros,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_navegar_categoria_livros.spec.ts,"Valida página, breadcrumb e os três livros solicitados."
gemini-3.6-flash,gemini_new_20,suite_navegar_sobre_nos,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_navegar_sobre_nos.spec.ts,Restringe About us ao rodapé e valida URL e heading.
gemini-3.6-flash,gemini_new_20,suite_navegar_sobre_nos,structured_context,failed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_navegar_sobre_nos.spec.ts,"Navega e valida URL e heading; não restringe o link ao rodapé, mas aciona o alvo correto."
gemini-3.6-flash,gemini_new_20,suite_ordenar_livros_por_preco,baseline,failed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_ordenar_livros_por_preco.spec.ts,Seleciona o combobox e verifica numericamente ordem não decrescente.
gemini-3.6-flash,gemini_new_20,suite_ordenar_livros_por_preco,structured_context,failed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_ordenar_livros_por_preco.spec.ts,Seleciona o combobox e verifica numericamente ordem não decrescente.
gemini-3.6-flash,gemini_new_20,suite_persistencia_carrinho_apos_login,baseline,failed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_persistencia_carrinho_apos_login.spec.ts,"Usa credenciais do ambiente, limpa o estado, reloga, verifica persistência e restaura a conta em finally."
gemini-3.6-flash,gemini_new_20,suite_persistencia_carrinho_apos_login,structured_context,failed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_persistencia_carrinho_apos_login.spec.ts,"Limpa o estado, adiciona o produto, reloga, confirma persistência e remove o item ao final."
gemini-3.6-flash,gemini_new_20,suite_produtos_visualizados_recentemente,baseline,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_produtos_visualizados_recentemente.spec.ts,"Fluxo e ordem completos, mas o domínio padrão é outra instalação nopCommerce."
gemini-3.6-flash,gemini_new_20,suite_produtos_visualizados_recentemente,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_produtos_visualizados_recentemente.spec.ts,"Abre Fiction e depois Blue Jeans, valida presença e ordem relativa."
gemini-3.6-flash,gemini_new_20,suite_visualizacao_livros_em_lista,baseline,failed,2,2,1,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/suite_visualizacao_livros_em_lista.spec.ts,"Seleciona List e verifica o valor do controle, mas aceita também um contêiner de grid como prova da visualização."
gemini-3.6-flash,gemini_new_20,suite_visualizacao_livros_em_lista,structured_context,failed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/suite_visualizacao_livros_em_lista.spec.ts,Seleciona List no controle real e comprova o contêiner product-list.
gemini-3.6-flash,gemini_new_20,user_registration_book_purchase,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_gemini36flash_demowebshop20_20260727_01/user_registration_book_purchase.spec.ts,"Usa email único e valida registro, sessão, catálogo, produto, notificação e carrinho."
gemini-3.6-flash,gemini_new_20,user_registration_book_purchase,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_gemini36flash_demowebshop20_20260727_01/user_registration_book_purchase.spec.ts,Valida todas as etapas principais do registro até a presença de Health Book no carrinho.
gpt-5.6-sol,gpt_original_12,suite_adicionar_carrinho,baseline,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/baseline/teste_adicionar_carrinho_baseline.spec.ts,Fluxo e oráculo completos; o botão genérico Add to cart é ambíguo na página do produto.
gpt-5.6-sol,gpt_original_12,suite_adicionar_carrinho,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/structured_context/teste_adicionar_carrinho_estruturado.spec.ts,Fluxo completo e ID específico do produto; confirma notificação e item no carrinho.
gpt-5.6-sol,gpt_original_12,suite_adicionar_wishlist,baseline,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/baseline/teste_wishlist_baseline.spec.ts,"Representa autenticação, busca, inclusão e verificação; falha ao localizar a busca após login."
gpt-5.6-sol,gpt_original_12,suite_adicionar_wishlist,structured_context,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/structured_context/teste_wishlist_estruturado.spec.ts,"Adiciona e recebe confirmação, mas o locator do item na wishlist não corresponde ao DOM."
gpt-5.6-sol,gpt_original_12,suite_busca_blue_jeans,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/baseline/teste_buscar_blue_jeans_baseline.spec.ts,"Busca, abre o resultado correto e valida a página de detalhes."
gpt-5.6-sol,gpt_original_12,suite_busca_blue_jeans,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/structured_context/teste_buscar_blue_jeans_estruturado.spec.ts,"Busca, abre o resultado correto e valida URL, título e nome do produto."
gpt-5.6-sol,gpt_original_12,suite_checkout_blue_jeans,baseline,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/baseline/teste_checkout_blue_jeans_baseline.spec.ts,"Cobre o checkout completo, mas o avanço presume controles visíveis no estado AJAX observado."
gpt-5.6-sol,gpt_original_12,suite_checkout_blue_jeans,structured_context,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/structured_context/teste_checkout_blue_jeans_estruturado.spec.ts,"Cobre o checkout completo, mas presume visibilidade imediata dos contêineres de endereço."
gpt-5.6-sol,gpt_original_12,suite_configurar_desktop,baseline,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/baseline/teste_configurar_desktop_baseline.spec.ts,Seleciona as quatro opções e valida o carrinho; labels exatos omitem os acréscimos de preço reais.
gpt-5.6-sol,gpt_original_12,suite_configurar_desktop,structured_context,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/structured_context/teste_configurar_desktop_estruturado.spec.ts,Fluxo e opções completos; o escopo category-grid não correspondeu ao DOM observado.
gpt-5.6-sol,gpt_original_12,suite_detalhes_fiction,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/baseline/teste_detalhes_fiction_baseline.spec.ts,Localiza Fiction e valida nome e preço.
gpt-5.6-sol,gpt_original_12,suite_detalhes_fiction,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/structured_context/teste_detalhes_fiction_estruturado.spec.ts,Localiza Fiction e valida nome e preço com alvos específicos.
gpt-5.6-sol,gpt_original_12,suite_limpar_carrinho,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/baseline/teste_limpar_carrinho_baseline.spec.ts,"Prepara o carrinho, remove Blue Jeans e confirma o estado vazio."
gpt-5.6-sol,gpt_original_12,suite_limpar_carrinho,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/structured_context/teste_limpar_carrinho_estruturado.spec.ts,"Prepara o carrinho, remove Blue Jeans e confirma o estado vazio."
gpt-5.6-sol,gpt_original_12,suite_limpar_wishlist,baseline,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/baseline/teste_limpar_wishlist_baseline.spec.ts,"Cobre autenticação, preparação, remoção e estado vazio; Add to wishlist resolve mais de um elemento."
gpt-5.6-sol,gpt_original_12,suite_limpar_wishlist,structured_context,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/structured_context/teste_limpar_wishlist_estruturado.spec.ts,"Cobre autenticação, preparação, remoção e estado vazio; Add to wishlist permanece ambíguo."
gpt-5.6-sol,gpt_original_12,suite_login_invalido,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/baseline/teste_login_invalido_baseline.spec.ts,Usa as credenciais do ambiente e valida mensagem e permanência sem autenticação.
gpt-5.6-sol,gpt_original_12,suite_login_invalido,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/structured_context/teste_login_invalido_estruturado.spec.ts,Usa as credenciais do ambiente e valida mensagem e permanência sem autenticação.
gpt-5.6-sol,gpt_original_12,suite_login_valido,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/baseline/teste_login_valido_baseline.spec.ts,Autentica e valida os controles de conta e encerramento de sessão.
gpt-5.6-sol,gpt_original_12,suite_login_valido,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/structured_context/teste_login_valido_estruturado.spec.ts,Autentica e valida os controles de conta e encerramento de sessão.
gpt-5.6-sol,gpt_original_12,suite_logout,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/baseline/teste_logout_baseline.spec.ts,"Parte de sessão autenticada, encerra-a e confirma o retorno de Log in."
gpt-5.6-sol,gpt_original_12,suite_logout,structured_context,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/structured_context/teste_logout_estruturado.spec.ts,"Parte de sessão autenticada, encerra-a e confirma o retorno de Log in."
gpt-5.6-sol,gpt_original_12,suite_registro_usuario,baseline,passed,2,2,2,6,adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/baseline/teste_registro_usuario_baseline.spec.ts,"Registra endereço único, confirma o cadastro e retorna autenticado."
gpt-5.6-sol,gpt_original_12,suite_registro_usuario,structured_context,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/archive_before_qwen25coder_gpu_20260724_01/structured_context/teste_registro_usuario_estruturado.spec.ts,"Conclui e confirma o cadastro, mas trata Continue como link em vez de botão."
qwen2.5-coder:7b,qwen_new_20,fluxo_computadores_desktops,baseline,failed,1,1,1,3,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_qwen25coder_demowebshop20_20260727_01/fluxo_computadores_desktops.spec.ts,Usa rota relativa e classe digital-item inventada; não comprova de modo confiável os itens disponíveis.
qwen2.5-coder:7b,qwen_new_20,fluxo_computadores_desktops,structured_context,passed,1,2,1,4,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_qwen25coder_demowebshop20_20260727_01/fluxo_computadores_desktops.spec.ts,"Navega e valida a categoria correta, mas omite a verificação dos itens digitais."
qwen2.5-coder:7b,qwen_new_20,suite_adicionar_dois_produtos_carrinho,baseline,failed,2,0,1,3,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_qwen25coder_demowebshop20_20260727_01/suite_adicionar_dois_produtos_carrinho.spec.ts,"Representa a sequência em outra aplicação, com seletores e preços inventados e asserções web sem await."
qwen2.5-coder:7b,qwen_new_20,suite_adicionar_dois_produtos_carrinho,structured_context,failed,0,1,1,2,inadequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_qwen25coder_demowebshop20_20260727_01/suite_adicionar_dois_produtos_carrinho.spec.ts,Divide um único fluxo em quatro testes isolados e não adiciona Fiction ao carrinho; o estado não é compartilhado.
qwen2.5-coder:7b,qwen_new_20,suite_atualizar_quantidade_carrinho,baseline,failed,2,0,1,3,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_qwen25coder_demowebshop20_20260727_01/suite_atualizar_quantidade_carrinho.spec.ts,"Fluxo nominal presente, porém rotas e controles são inventados e o subtotal esperado é fixado arbitrariamente."
qwen2.5-coder:7b,qwen_new_20,suite_atualizar_quantidade_carrinho,structured_context,failed,2,1,1,4,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_qwen25coder_demowebshop20_20260727_01/suite_atualizar_quantidade_carrinho.spec.ts,"Usa o produto real, mas espera redirecionamento inexistente e compara o preço unitário ao total do pedido."
qwen2.5-coder:7b,qwen_new_20,suite_busca_sem_resultados,baseline,failed,2,0,2,4,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_qwen25coder_demowebshop20_20260727_01/suite_busca_sem_resultados.spec.ts,"Fluxo e intenção do oráculo estão presentes, mas os controles e a mensagem pertencem a uma interface inventada."
qwen2.5-coder:7b,qwen_new_20,suite_busca_sem_resultados,structured_context,failed,2,2,1,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_qwen25coder_demowebshop20_20260727_01/suite_busca_sem_resultados.spec.ts,Busca corretamente um termo inexistente; a mensagem esperada não coincide com a resposta observada.
qwen2.5-coder:7b,qwen_new_20,suite_cadastro_campos_obrigatorios,baseline,failed,2,1,0,3,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_qwen25coder_demowebshop20_20260727_01/suite_cadastro_campos_obrigatorios.spec.ts,"Submete campos vazios, mas usa um único locator incompatível para cinco mensagens distintas."
qwen2.5-coder:7b,qwen_new_20,suite_cadastro_campos_obrigatorios,structured_context,failed,2,2,1,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_qwen25coder_demowebshop20_20260727_01/suite_cadastro_campos_obrigatorios.spec.ts,"Cobre os cinco campos e mensagens, mas a mensagem de senha resolve dois elementos e invalida o oráculo."
qwen2.5-coder:7b,qwen_new_20,suite_cadastro_confirmacao_senha,baseline,failed,2,1,1,4,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_qwen25coder_demowebshop20_20260727_01/suite_cadastro_confirmacao_senha.spec.ts,"Cobre senhas divergentes com email único, mas IDs e texto de erro não correspondem à aplicação."
qwen2.5-coder:7b,qwen_new_20,suite_cadastro_confirmacao_senha,structured_context,failed,2,2,1,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_qwen25coder_demowebshop20_20260727_01/suite_cadastro_confirmacao_senha.spec.ts,Preenche os controles reais; a mensagem The specified passwords do not match não é a exibida.
qwen2.5-coder:7b,qwen_new_20,suite_cadastro_senha_curta,baseline,failed,2,1,1,4,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_qwen25coder_demowebshop20_20260727_01/suite_cadastro_senha_curta.spec.ts,"Representa a validação pedida, mas usa IDs e mensagem de outra interface."
qwen2.5-coder:7b,qwen_new_20,suite_cadastro_senha_curta,structured_context,failed,2,2,0,4,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_qwen25coder_demowebshop20_20260727_01/suite_cadastro_senha_curta.spec.ts,"Ações corretas, porém chama toHaveText sobre Page; não existe uma asserção executável do erro."
qwen2.5-coder:7b,qwen_new_20,suite_carrinho_inicialmente_vazio,baseline,failed,2,0,1,3,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_qwen25coder_demowebshop20_20260727_01/suite_carrinho_inicialmente_vazio.spec.ts,Representa o estado vazio em rota e classes inexistentes.
qwen2.5-coder:7b,qwen_new_20,suite_carrinho_inicialmente_vazio,structured_context,failed,2,2,1,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_qwen25coder_demowebshop20_20260727_01/suite_carrinho_inicialmente_vazio.spec.ts,"Abre o carrinho real, mas não valida contagem zero e procura uma mensagem como heading inexistente."
qwen2.5-coder:7b,qwen_new_20,suite_comparar_produtos,baseline,failed,2,1,1,4,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_qwen25coder_demowebshop20_20260727_01/suite_comparar_produtos.spec.ts,"Fluxo nominal correto, com IDs inventados e validação que não identifica os produtos pelo nome."
qwen2.5-coder:7b,qwen_new_20,suite_comparar_produtos,structured_context,failed,1,1,1,3,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_qwen25coder_demowebshop20_20260727_01/suite_comparar_produtos.spec.ts,Adiciona apenas o primeiro produto; clicar no texto Fiction não equivale a adicioná-lo à comparação.
qwen2.5-coder:7b,qwen_new_20,suite_enquete_sem_resposta,baseline,failed,2,1,1,4,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_qwen25coder_demowebshop20_20260727_01/suite_enquete_sem_resposta.spec.ts,"A intenção está correta, mas inventa navegação e um alerta inline diferente do controle real."
qwen2.5-coder:7b,qwen_new_20,suite_enquete_sem_resposta,structured_context,failed,2,2,0,4,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_qwen25coder_demowebshop20_20260727_01/suite_enquete_sem_resposta.spec.ts,"Clica no botão real, porém espera que ele fique desabilitado e usa toHaveText sobre Page."
qwen2.5-coder:7b,qwen_new_20,suite_exibir_quatro_livros,baseline,failed,2,1,2,5,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_qwen25coder_demowebshop20_20260727_01/suite_exibir_quatro_livros.spec.ts,"Seleciona quatro e conta produtos, mas o identificador do controle Display é inventado."
qwen2.5-coder:7b,qwen_new_20,suite_exibir_quatro_livros,structured_context,failed,1,2,1,4,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/structured_context_qwen25coder_demowebshop20_20260727_01/suite_exibir_quatro_livros.spec.ts,"Não seleciona 4 no controle Display e exige exatamente quatro itens, não no máximo quatro."
qwen2.5-coder:7b,qwen_new_20,suite_filtrar_livros_abaixo_25,baseline,failed,2,1,0,3,partially_adequate,python_app/teste_prompt_e2e_semantico/generated_tests/baseline_qwen25coder_demowebshop20_20260727_01/suite_filtrar_livros_abaixo_25.spec.ts,"Aciona o filtro, mas o oráculo apenas procura a frase Over 25.00 e não inspeciona preços."
